time,AkSuu,AlaArcha,Alamedin,ChonKayindi,ChonKemin,KaraBalta,Kegety,Kochkor,Sokuluk
717748,2.033333333,1.36,1.123333333,NaN,9.893333333,1.796666667,0.68,22.1,1.656666667
717776,1.97,1.27,1.12,NaN,9.593333333,1.66,0.6,20.36666667,1.516666667
717807,2.2,1.273333333,1.136666667,NaN,10.11666667,1.676666667,0.466666667,20.7,1.583333333
717837,4.216666667,2.4,2.82,NaN,21.76666667,4.976666667,1.383333333,32.56666667,1.583333333
717868,7.223333333,4.696666667,6.566666667,NaN,23.46666667,8.88,2.49,20.3,5.713333333
717898,11.88666667,9.5,15.46666667,NaN,36.96666667,11.69333333,5.34,27.86666667,13
717929,11.15333333,12.13333333,18.3,NaN,39.9,8.396666667,6.186666667,38.46666667,14.56666667
717960,5.703333333,4.62,6.073333333,NaN,19.93333333,4.696666667,3.543333333,31,4.74
717990,3.663333333,2.396666667,3.453333333,NaN,14.16666667,3.313333333,2.103333333,23.5,2.686666667
718021,2.82,1.663333333,2.35,NaN,11.36666667,2.696666667,1.366666667,22,2.083333333
718051,2.226666667,1.576666667,1.733333333,NaN,9.176666667,2.153333333,1,20.16666667,1.91
718082,1.963333333,1.323333333,1.503333333,NaN,9.126666667,1.81,0.656666667,20.7,1.7
718113,1.793333333,1.17,1.37,NaN,8.663333333,1.616666667,0.463333333,20.4,1.733333333
718141,1.75,1.19,1.346666667,NaN,8.663333333,1.513333333,0.523333333,18.13333333,1.586666667
718172,2.433333333,1.523333333,1.513333333,NaN,12.49333333,2.16,0.956666667,17.53333333,2
718202,4.026666667,2.833333333,2.896666667,NaN,18.73333333,4.653333333,2.11,24.66666667,2
718233,17.56666667,13.15666667,16.91333333,NaN,67.13333333,21.1,8.163333333,48.76666667,17.58666667
718263,15.06666667,12.33333333,18.6,NaN,49.1,14.56666667,7.733333333,49.3,16.1
718294,13.06666667,11.81,21.3,NaN,47.43333333,10.87666667,7.186666667,59,16.53333333
718325,6.966666667,5.636666667,11.02,NaN,31.03333333,6.29,4.246666667,48.46666667,8.756666667
718355,3.736666667,2.67,4.216666667,NaN,19.16666667,4.156666667,1.96,29.66666667,4.113333333
718386,2.68,2.026666667,2.453333333,NaN,14.66666667,2.956666667,1.203333333,24.76666667,2.693333333
718416,2.33,1.813333333,1.916666667,NaN,11.56666667,2.396666667,0.91,23.63333333,2.323333333
718447,1.986666667,1.74,1.776666667,NaN,11.36666667,1.886666667,0.75,20.73333333,1.653333333
718478,1.873333333,1.54,1.72,NaN,10.53333333,1.663333333,0.663333333,21.9,1.553333333
718506,2.01,1.526666667,1.51,NaN,10.56666667,1.59,0.616666667,20.36666667,1.56
718537,2.753333333,1.833333333,1.743333333,NaN,20.3,2.69,0.71,30.03333333,2.396666667
718567,4.916666667,3.003333333,3.01,NaN,23.36666667,5.88,2.596666667,23.83333333,2.396666667
718598,13.76666667,7.73,11.65333333,NaN,42.5,16,6.296666667,36.96666667,12.66666667
718628,12.93333333,9.253333333,14.16666667,NaN,42.4,14.03333333,7.02,29.26666667,12.76666667
718659,10.06,10.08,18.76666667,NaN,36.7,8.816666667,5.646666667,37.46666667,11.22333333
718690,5,4.516666667,7.186666667,NaN,25.5,4.773333333,3.393333333,28.46666667,4.75
718720,3.473333333,2.626666667,3.576666667,NaN,17.2,3.616666667,1.963333333,20.1,2.676666667
718751,2.61,1.593333333,2.056666667,NaN,12.66666667,2.716666667,1.33,19.43333333,2.056666667
718781,2.42,1.373333333,1.623333333,NaN,10.73333333,2.196666667,1.023333333,20.03333333,1.673333333
718812,2.086666667,1.186666667,1.446666667,NaN,9.746666667,1.833333333,0.793333333,19.43333333,1.543333333
718843,1.796666667,1.113333333,1.463333333,NaN,8.276666667,1.61,0.626666667,19.73333333,1.42
718872,1.8,1.046666667,1.343333333,NaN,7.98,1.55,0.663333333,17.93333333,1.416666667
718903,2.08,1.22,1.37,NaN,9.933333333,2.133333333,0.87,22.33333333,1.57
718933,4.483333333,2.993333333,3.66,NaN,23.56666667,5.783333333,2.406666667,37.7,1.57
718964,13.03333333,7.403333333,11.5,NaN,34.36666667,16.76666667,4.516666667,57.23333333,10.55666667
718994,17.4,13.06666667,20.63333333,NaN,37.33333333,16.76666667,5.976666667,43.1,15.23333333
719025,12.29,14.86666667,23.8,NaN,41.06666667,8.89,5.516666667,38.43333333,15.04666667
719056,4.94,4.17,7.99,NaN,19.1,3.823333333,2.41,30.4,4.146666667
719086,3.41,2.2,4.573333333,NaN,13.66666667,3,1.746666667,21.53333333,2.213333333
719117,2.656666667,1.386666667,3.1,NaN,10.8,2.316666667,1.223333333,22.7,1.656666667
719147,2.276666667,1.146666667,2.023333333,NaN,8.863333333,1.94,0.933333333,22.06666667,1.536666667
719178,2.033333333,0.896666667,1.823333333,NaN,8.683333333,1.863333333,0.643333333,20.66666667,1.366666667
719209,1.863333333,1.15,1.533333333,NaN,7.693333333,1.686666667,0.69,21.1,1.253333333
719237,1.726666667,1.463333333,1.466666667,NaN,8.81,1.483333333,0.76,20.9,1.383333333
719268,2.03,1.453333333,1.426666667,NaN,9.556666667,1.713333333,0.69,16.3,1.516666667
719298,5.646666667,3.3,4.36,NaN,36.9,7.613333333,3.363333333,32.4,1.516666667
719329,14.73333333,8.133333333,12.90666667,NaN,53.7,20.1,6.326666667,61.33333333,10.7
719359,15.9,12,20.43333333,NaN,49.03333333,18.53333333,7.616666667,63.7,14.43333333
719390,10.95666667,9.293333333,18.46666667,NaN,39.86666667,9.75,5.553333333,40.8,11.38666667
719421,5.726666667,5.076666667,9.116666667,NaN,24.96666667,5.063333333,3.523333333,33.53333333,5.85
719451,3.373333333,2.76,4.65,NaN,17.5,3.396666667,2.21,25.53333333,2.466666667
719482,2.256666667,2.343333333,3.036666667,NaN,13.6,2.546666667,1.7,22,1.706666667
719512,1.98,1.913333333,2.153333333,NaN,10.56666667,1.996666667,1.476666667,21.9,1.56
719543,1.97,1.733333333,2.126666667,NaN,8.87,1.716666667,1.196666667,23.13333333,1.473333333
719574,1.99,1.633333333,1.8,NaN,8.3,1.536666667,1.21,24.7,1.443333333
719602,2.026666667,1.573333333,1.723333333,NaN,8.2,1.383333333,1.113333333,22.06666667,1.403333333
719633,2.51,1.803333333,1.793333333,NaN,14.33333333,2.28,1.446666667,20.56666667,1.78
719663,5.726666667,4.08,4.963333333,NaN,29.83333333,7.09,3.44,35.7,1.78
719694,13.56333333,8.996666667,12.09333333,NaN,34.16666667,14.8,6.533333333,36.93333333,11.2
719724,15.16666667,13.23333333,20.6,NaN,41.36666667,13.4,9.126666667,42.7,15.66666667
719755,14,16.1,24.36666667,NaN,45.36666667,10.71,9.063333333,51.76666667,15.46666667
719786,7.38,10.20333333,14.95333333,NaN,32.7,5.506666667,4.393333333,32.8,8.78
719816,3.87,3.066666667,5.306666667,NaN,17.56666667,3.213333333,2.37,21.8,2.95
719847,2.893333333,2.276666667,3.213333333,NaN,13.63333333,2.51,1.43,21.3,2.173333333
719877,2.4,1.723333333,2.496666667,NaN,10.14,1.973333333,1.093333333,22.66666667,2.033333333
719908,2.27,1.426666667,2.186666667,NaN,8.45,1.876666667,0.853333333,20.23333333,1.753333333
719939,1.906666667,1.226666667,1.986666667,NaN,8.156666667,1.653333333,0.663333333,20.43333333,1.553333333
719967,1.77,1.293333333,1.866666667,NaN,8.53,1.64,0.696666667,20.13333333,1.506666667
719998,1.883333333,1.496666667,1.836666667,NaN,11.01333333,1.793333333,0.54,17.7,1.55
720028,3.446666667,2.576666667,3.006666667,NaN,18.93333333,3.776666667,1.293333333,17.43333333,1.55
720059,11.52333333,9.04,15.55666667,NaN,39.26666667,13.83333333,3.93,59,9.84
720089,12.63333333,11.40666667,20.13333333,NaN,37.33333333,13,5.18,39.7,12.76666667
720120,9.686666667,11.5,18.63333333,NaN,37.2,8.076666667,5.25,31.56666667,12.86666667
720151,4.993333333,5.633333333,7.956666667,NaN,22.03333333,4.576666667,3.536666667,30.93333333,5.893333333
720181,3.316666667,3.186666667,3.393333333,NaN,14.8,2.936666667,2.303333333,25,3.053333333
720212,2.496666667,2.28,2.14,NaN,12.86666667,2.116666667,2.04,26.36666667,2.413333333
720242,2.146666667,1.913333333,1.83,NaN,10.44,1.746666667,1.366666667,26.23333333,2.173333333
