time,AlpineCamp,Baytyk,Belogorka,Bishkek,ChonArik,ChonKemin,ChonKurchak,KaraKudzhur,Kegety,Kochkorka,Shabdan,Sosnovka
728784,16.4385559,16.4385559,16.4385559,16.4385559,16.4385559,15.51149033,16.4385559,8.708130134,15.51149033,15.51149033,14.65035515,16.67510897
728794,13.31505987,13.31505987,13.31505987,13.31505987,13.31505987,12.05084762,13.31505987,5.993800673,12.05084762,12.05084762,11.21383617,13.92330576
728804,11.49528324,11.49528324,11.49528324,11.49528324,11.49528324,10.51356667,11.49528324,3.645436496,10.51356667,10.51356667,9.79911676,12.02140624
728815,17.6889497,17.6889497,17.6889497,17.6889497,17.6889497,16.70748864,17.6889497,9.591983774,16.70748864,16.70748864,16.02095774,17.94933374
728825,18.852744,18.852744,18.852744,18.852744,18.852744,17.71664515,18.852744,10.18032173,17.71664515,17.71664515,17.25243901,19.38170947
728835,20.27984998,20.27984998,20.27984998,20.27984998,20.27984998,19.34944691,20.27984998,11.85586699,19.34944691,19.34944691,18.66859563,20.51048923
728845,21.08342781,21.08342781,21.08342781,21.08342781,21.08342781,19.81675634,21.08342781,12.40819501,19.81675634,19.81675634,18.85110452,21.83050225
728855,21.26365315,21.26365315,21.26365315,21.26365315,21.26365315,19.81622937,21.26365315,12.42236477,19.81622937,19.81622937,18.92013821,22.06395203
728865,20.21580925,20.21580925,20.21580925,20.21580925,20.21580925,18.40482617,20.21580925,12.46369236,18.40482617,18.40482617,17.62644731,21.35114692
728876,21.24380377,21.24380377,21.24380377,21.24380377,21.24380377,19.58910328,21.24380377,12.58156967,19.58910328,19.58910328,18.81427485,22.40367504
728886,22.14428639,22.14428639,22.14428639,22.14428639,22.14428639,20.53742349,22.14428639,13.75391267,20.53742349,20.53742349,19.44307274,23.15836133
728896,17.96589352,17.96589352,17.96589352,17.96589352,17.96589352,16.53773892,17.96589352,10.66516504,16.53773892,16.53773892,15.88838901,18.7913275
728907,14.6224255,14.6224255,14.6224255,14.6224255,14.6224255,13.25674134,14.6224255,7.418388886,13.25674134,13.25674134,12.90542489,15.36259071
728917,17.09785977,17.09785977,17.09785977,17.09785977,17.09785977,15.8962404,17.09785977,8.905101558,15.8962404,15.8962404,15.40586118,17.8533658
728927,13.54698728,13.54698728,13.54698728,13.54698728,13.54698728,12.63900991,13.54698728,7.823105439,12.63900991,12.63900991,12.16525968,13.93337683
728937,12.56903939,12.56903939,12.56903939,12.56903939,12.56903939,11.4215813,12.56903939,4.675602793,11.4215813,11.4215813,10.97617059,13.5247958
728947,5.161707657,5.161707657,5.161707657,5.161707657,5.161707657,4.519325525,5.161707657,-0.074195637,4.519325525,4.519325525,4.201032819,5.289879609
728957,4.860831731,4.860831731,4.860831731,4.860831731,4.860831731,3.955712799,4.860831731,-0.949889155,3.955712799,3.955712799,3.584648104,5.431295127
728968,8.103865836,8.103865836,8.103865836,8.103865836,8.103865836,6.605501169,8.103865836,0.385853257,6.605501169,6.605501169,5.712337643,8.839229723
728978,3.37057928,3.37057928,3.37057928,3.37057928,3.37057928,1.979249024,3.37057928,-2.854514038,1.979249024,1.979249024,1.27597204,4.08316615
728988,0.542540394,0.542540394,0.542540394,0.542540394,0.542540394,-0.650237513,0.542540394,-8.334113844,-0.650237513,-0.650237513,-0.800249638,1.425398638
728998,-1.685567097,-1.685567097,-1.685567097,-1.685567097,-1.685567097,-2.533293695,-1.685567097,-9.759638901,-2.533293695,-2.533293695,-3.094755938,-1.35655924
729008,-7.497922136,-7.497922136,-7.497922136,-7.497922136,-7.497922136,-8.600353162,-7.497922136,-13.70861148,-8.600353162,-8.600353162,-9.340576926,-7.005142259
