T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1997-01-19 00:1080 , 2.54 ,0, 2.164 0.376
1997-01-29 00:1080 , 2.45 ,0, 2.142 0.308
1997-02-09 00:1080 , 2.46 ,0, 2.102 0.358
1997-02-20 00:1080 , 2.57 ,0, nan nan
1997-03-00 00:1080 , 2.75 ,0, nan nan
1997-03-10 00:1080 , 5.71 ,0, nan nan
1997-03-20 00:1080 , 7.68 ,0, nan nan
1997-04-00 00:1080 , 4.59 ,0, nan nan
1997-04-10 00:1080 , 12.1 ,0, 6.471 5.629
1997-04-21 00:1080 , 20.6 ,0, 10.787 9.813
1997-05-01 00:1080 , 14.3 ,0, 13.475 0.825
1997-05-11 00:1080 , 15.1 ,0, 16.185 -1.085
1997-05-21 00:1080 , 14.2 ,0, 17.249 -3.049
1997-06-01 00:1080 , 17.8 ,0, 17.57 0.23
1997-06-11 00:1080 , 17.9 ,0, 16.88 1.02
1997-06-22 00:1080 , 12.7 ,0, 15.17 -2.47
1997-07-02 00:1080 , 13.7 ,0, 11.645 2.055
1997-07-12 00:1080 , 11.4 ,0, 9.855 1.545
1997-07-23 00:1080 , 8.68 ,0, 8.03 0.65
1997-08-03 00:1080 , 6.69 ,0, 6.627 0.063
1997-08-13 00:1080 , 5.86 ,0, 5.36 0.5
1997-08-23 00:1080 , 4.94 ,0, 4.644 0.296
1997-09-03 00:1080 , 4.29 ,0, 4.162 0.128
1997-09-13 00:1080 , 3.69 ,0, 3.732 -0.042
1997-09-24 00:1080 , 3.32 ,0, 3.48 -0.16
1997-10-04 00:1080 , 3.05 ,0, 3.282 -0.232
1997-10-14 00:1080 , 2.78 ,0, 3.132 -0.352
1997-10-24 00:1080 , 2.72 ,0, 3.008 -0.288
1997-11-04 00:1080 , 2.68 ,0, 2.879 -0.199
1997-11-14 00:1080 , 2.68 ,0, 2.652 0.028
1997-11-25 00:1080 , 2.59 ,0, 2.669 -0.079
1998-00-00 00:720 , 2.53 ,0, 2.628 -0.098
1998-00-10 00:720 , 2.53 ,0, 2.598 -0.068
1998-00-21 00:720 , 2.48 ,0, 2.403 0.077
1998-01-01 00:720 , 2.43 ,0, 2.284 0.146
1998-01-11 00:720 , 2.43 ,0, 2.267 0.163
1998-01-19 00:720 , 2.26 ,0, 2.203 0.057
1998-01-29 00:720 , 2.21 ,0, 2.172 0.038
1998-02-09 00:720 , 2.12 ,0, 2.133 -0.013
1998-02-20 00:720 , 2.12 ,0, nan nan
1998-03-00 00:720 , 2.19 ,0, nan nan
1998-03-10 00:720 , 2.4 ,0, nan nan
1998-03-20 00:720 , 2.39 ,0, nan nan
1998-04-00 00:720 , 3.45 ,0, nan nan
1998-04-10 00:720 , 5.68 ,0, 6.859 -1.179
1998-04-21 00:720 , 10.5 ,0, 11.307 -0.807
1998-05-01 00:720 , 12.3 ,0, 13.665 -1.365
1998-05-11 00:720 , 21.3 ,0, 16.225 5.075
1998-05-21 00:720 , 21.0 ,0, 16.389 4.611
1998-06-01 00:720 , 19.8 ,0, 17.42 2.38
1998-06-11 00:720 , 16.4 ,0, 16.56 -0.16
1998-06-22 00:720 , 18.0 ,0, 15.06 2.94
1998-07-02 00:720 , 18.6 ,0, 11.755 6.845
1998-07-12 00:720 , 13.6 ,0, 9.745 3.855
1998-07-23 00:720 , 11.4 ,0, 8.018 3.382
1998-08-03 00:720 , 8.14 ,0, 6.718 1.422
1998-08-13 00:720 , 6.12 ,0, 5.405 0.715
1998-08-23 00:720 , 5.3 ,0, 4.704 0.596
1998-09-03 00:720 , 4.49 ,0, 4.157 0.333
1998-09-13 00:720 , 3.83 ,0, 3.685 0.145
1998-09-24 00:720 , 3.49 ,0, 3.435 0.055
1998-10-04 00:720 , 3.2 ,0, 3.233 -0.033
1998-10-14 00:720 , 2.94 ,0, 3.07 -0.13
1998-10-24 00:720 , 3.0 ,0, 2.949 0.051
1998-11-04 00:720 , 2.81 ,0, 2.818 -0.008
1998-11-14 00:720 , 2.6 ,0, 2.616 -0.016
1998-11-25 00:720 , nan ,0, 2.643 nan
1999-00-00 00:360 , nan ,0, 2.596 nan
1999-00-10 00:360 , nan ,0, 2.566 nan
1999-00-21 00:360 , nan ,0, 2.366 nan
1999-01-01 00:360 , nan ,0, 2.242 nan
1999-01-11 00:360 , nan ,0, 2.225 nan
1999-01-19 00:360 , nan ,0, 2.144 nan
1999-01-29 00:360 , nan ,0, 2.108 nan
1999-02-09 00:360 , nan ,0, 2.06 nan
1999-02-20 00:360 , 2.2 ,0, nan nan
1999-03-00 00:360 , 2.23 ,0, nan nan
1999-03-10 00:360 , 2.29 ,0, nan nan
1999-03-20 00:360 , 2.57 ,0, nan nan
1999-04-00 00:360 , 4.02 ,0, nan nan
1999-04-10 00:360 , 5.22 ,0, 6.919 -1.699
1999-04-21 00:360 , 6.06 ,0, 11.452 -5.392
1999-05-01 00:360 , 9.8 ,0, 13.215 -3.415
1999-05-11 00:360 , 13.3 ,0, 16.035 -2.735
1999-05-21 00:360 , 16.5 ,0, 16.979 -0.479
1999-06-01 00:360 , 18.9 ,0, 17.41 1.49
1999-06-11 00:360 , 15.3 ,0, 16.72 -1.42
1999-06-22 00:360 , 16.1 ,0, 15.67 0.43
1999-07-02 00:360 , 13.9 ,0, 12.643 1.257
1999-07-12 00:360 , 13.5 ,0, 10.284 3.216
1999-07-23 00:360 , 12.3 ,0, 8.403 3.897
1999-08-03 00:360 , 11.1 ,0, 6.989 4.111
1999-08-13 00:360 , 8.0 ,0, 5.53 2.47
1999-08-23 00:360 , 6.51 ,0, 4.789 1.721
1999-09-03 00:360 , 5.72 ,0, 4.206 1.514
1999-09-13 00:360 , 5.18 ,0, 3.693 1.487
1999-09-24 00:360 , 4.65 ,0, 3.412 1.238
1999-10-04 00:360 , 4.0 ,0, 3.213 0.787
1999-10-14 00:360 , 3.51 ,0, 3.072 0.438
1999-10-24 00:360 , 3.44 ,0, 3.005 0.435
1999-11-04 00:360 , 3.35 ,0, 2.858 0.492
1999-11-14 00:360 , 3.15 ,0, 2.768 0.382
1999-11-25 00:360 , 2.91 ,0, nan nan
2000-00-00 00:00 , 2.78 ,0, nan nan
2000-00-10 00:00 , 2.66 ,0, nan nan
2000-00-21 00:00 , 2.61 ,0, nan nan
2000-01-01 00:00 , 2.51 ,0, nan nan
2000-01-11 00:00 , 2.44 ,0, nan nan
2000-01-20 00:00 , 2.44 ,0, nan nan
2000-02-00 00:00 , 2.41 ,0, nan nan
2000-02-10 00:00 , 2.5 ,0, nan nan
2000-02-21 00:00 , 2.51 ,0, nan nan
2000-03-01 00:00 , 2.94 ,0, nan nan
2000-03-11 00:00 , 2.67 ,0, nan nan
2000-03-21 00:00 , 3.79 ,0, nan nan
2000-04-01 00:00 , 9.44 ,0, nan nan
2000-04-11 00:00 , 8.06 ,0, 6.945 1.115
2000-04-22 00:00 , 7.21 ,0, 11.21 -4.0
2000-05-02 00:00 , 11.9 ,0, 13.637 -1.737
2000-05-12 00:00 , 15.2 ,0, 16.46 -1.26
2000-05-22 00:00 , 15.5 ,0, 17.64 -2.14
2000-06-02 00:00 , 14.1 ,0, 17.96 -3.86
2000-06-12 00:00 , 11.3 ,0, 15.7 -4.4
2000-06-23 00:00 , 12.2 ,0, 14.59 -2.39
2000-07-03 00:00 , 12.2 ,0, 13.003 -0.803
2000-07-13 00:00 , 9.12 ,0, 10.86 -1.74
2000-07-24 00:00 , 7.76 ,0, 8.953 -1.193
2000-08-04 00:00 , 5.18 ,0, 7.506 -2.326
2000-08-14 00:00 , 4.61 ,0, 5.895 -1.285
2000-08-24 00:00 , 3.03 ,0, 5.09 -2.06
2000-09-04 00:00 , 3.08 ,0, 4.463 -1.383
2000-09-14 00:00 , 3.57 ,0, 3.975 -0.405
2000-09-25 00:00 , 3.47 ,0, 3.683 -0.213
2000-10-05 00:00 , 3.1 ,0, 3.439 -0.339
2000-10-15 00:00 , 3.06 ,0, 3.246 -0.186
2000-10-25 00:00 , 2.97 ,0, 3.163 -0.193
2000-11-05 00:00 , 2.86 ,0, 3.006 -0.146
2000-11-15 00:00 , 2.75 ,0, 2.904 -0.154
2000-11-26 00:00 , 2.58 ,0, nan nan
2001-00-00 00:1080 , 2.58 ,0, nan nan
2001-00-10 00:1080 , 2.49 ,0, nan nan
2001-00-21 00:1080 , 2.46 ,0, nan nan
2001-01-01 00:1080 , 2.3 ,0, nan nan
2001-01-11 00:1080 , 2.27 ,0, nan nan
