T_forecast [day], Q_compare [m3/s], Q_forecast [m3/s]
1997-07-02 18:00 , 729617.0 ,0, 16.3113592562 4.3886407438
1997-07-12 18:00 , 729627.0 ,0, 12.9882965782 1.41170342183
1997-07-23 18:00 , 729638.0 ,0, 9.57141305284 2.32858694716
1997-08-03 18:00 , 729648.0 ,0, 6.52244510979 1.98755489021
1997-08-13 18:00 , 729658.0 ,0, 5.07889393496 1.36110606504
1997-08-23 18:00 , 729668.0 ,0, 3.74082010631 1.75917989369
1997-09-03 18:00 , 729678.0 ,0, 2.93806593134 1.26193406866
1997-09-13 18:00 , 729688.0 ,0, 2.54766371458 1.15233628542
1997-09-24 18:00 , 729699.0 ,0, 2.35331746831 0.406682531693
1997-10-04 18:00 , 729709.0 ,0, 2.15246042276 0.227539577242
1997-10-14 18:00 , 729719.0 ,0, 2.10577544019 0.194224559806
1997-10-24 18:00 , 729729.0 ,0, 2.08267472843 0.117325271567
1997-11-04 18:00 , 729739.0 ,0, 1.9499144129 0.120085587098
1997-11-14 18:00 , 729749.0 ,0, 1.89968228583 0.170317714169
1997-11-25 18:00 , 729760.0 ,0, 1.81453638758 0.195463612418
1998-00-00 12:00 , 729770.0 ,0, 1.67820388835 0.241796111647
1998-00-10 12:00 , 729780.0 ,0, 1.66319705267 0.226802947325
1998-00-21 12:00 , 729791.0 ,0, 1.60649004906 0.303509950942
1998-01-01 12:00 , 729801.0 ,0, 1.58673692034 0.223263079662
1998-01-11 12:00 , 729811.0 ,0, 1.56120680701 0.248793192989
1998-01-19 12:00 , 729819.0 ,0, 1.54367821632 0.156321783681
1998-01-29 12:00 , 729829.0 ,0, 1.56111522649 0.138884773514
1998-02-09 12:00 , 729839.0 ,0, 1.55215032824 0.127849671763
1998-02-20 12:00 , 729850.0 ,0, 1.51793574181 0.0920642581876
1998-03-00 12:00 , 729860.0 ,0, 1.61833600974 0.251663990263
1998-03-10 12:00 , 729870.0 ,0, 1.98718886689 0.0728111331056
1998-03-20 12:00 , 729880.0 ,0, 2.41401187458 -0.374011874581
1998-04-00 12:00 , 729890.0 ,0, 2.58188266329 0.208117336709
1998-04-10 12:00 , 729900.0 ,0, 3.31336524362 0.51663475638
1998-04-21 12:00 , 729911.0 ,0, 5.31617256227 1.62382743773
1998-05-01 12:00 , 729921.0 ,0, 9.2851497659 -1.9351497659
1998-05-11 12:00 , 729931.0 ,0, 14.4788252736 -0.278825273639
1998-05-21 12:00 , 729941.0 ,0, 13.8445046326 0.155495367359
1998-06-01 12:00 , 729951.0 ,0, 18.5397529466 -1.23975294662
1998-06-11 12:00 , 729961.0 ,0, 19.0163339507 -3.21633395069
1998-06-22 12:00 , 729972.0 ,0, 17.0949012991 -0.294901299112
1998-07-02 12:00 , 729982.0 ,0, 14.4410250927 1.55897490731
1998-07-12 12:00 , 729992.0 ,0, 10.3907562571 0.909243742934
1998-07-23 12:00 , 730003.0 ,0, 8.14778417837 4.15221582163
1998-08-03 12:00 , 730013.0 ,0, 7.11104409045 0.458955909551
1998-08-13 12:00 , 730023.0 ,0, 6.19403339896 -1.50403339896
1998-08-23 12:00 , 730033.0 ,0, 4.06885495365 -0.418854953645
1998-09-03 12:00 , 730043.0 ,0, 3.15822773265 -0.228227732654
1998-09-13 12:00 , 730053.0 ,0, 2.61247342689 0.0375265731064
1998-09-24 12:00 , 730064.0 ,0, 2.2559482088 0.234051791197
1998-10-04 12:00 , 730074.0 ,0, 1.98487008137 0.335129918629
1998-10-14 12:00 , 730084.0 ,0, 1.97824608946 0.231753910537
1998-10-24 12:00 , 730094.0 ,0, 1.96699483837 0.113005161625
1998-11-04 12:00 , 730104.0 ,0, 1.8982259165 0.0417740834994
1998-11-14 12:00 , 730114.0 ,0, 1.86478242879 0.0752175712079
1998-11-25 12:00 , 730125.0 ,0, 1.75361238894 0.186387611062
1999-00-00 06:00 , 730135.0 ,0, 1.69231998399 0.247680016012
1999-00-10 06:00 , 730145.0 ,0, 1.6858920317 0.254107968304
1999-00-21 06:00 , 730156.0 ,0, 1.66921676183 0.250783238166
1999-01-01 06:00 , 730166.0 ,0, 1.6670651849 0.142934815105
1999-01-11 06:00 , 730176.0 ,0, 1.64921793702 0.130782062983
1999-01-19 06:00 , 730184.0 ,0, 1.65311250124 0.126887498759
1999-01-29 06:00 , 730194.0 ,0, 1.64896041386 0.00103958613604
1999-02-09 06:00 , 730204.0 ,0, 1.55585533992 0.094144660083
1999-02-20 06:00 , 730215.0 ,0, 1.46284499043 0.187155009569
1999-03-00 06:00 , 730225.0 ,0, 1.35774233258 0.292257667422
1999-03-10 06:00 , 730235.0 ,0, 1.36375446583 0.196245534174
1999-03-20 06:00 , 730245.0 ,0, 1.76789980089 -0.187899800895
1999-04-00 06:00 , 730255.0 ,0, 2.58513399223 -0.36513399223
1999-04-10 06:00 , 730265.0 ,0, 3.11298506653 0.317014933467
1999-04-21 06:00 , 730276.0 ,0, 5.34408952414 -1.42408952414
1999-05-01 06:00 , 730286.0 ,0, 5.13541713183 1.16458286817
1999-05-11 06:00 , 730296.0 ,0, 8.08448630715 2.01551369285
1999-05-21 06:00 , 730306.0 ,0, 9.10958417962 4.19041582038
1999-06-01 06:00 , 730316.0 ,0, 11.3908547604 7.00914523956
1999-06-11 06:00 , 730326.0 ,0, 14.2327430812 1.56725691885
1999-06-22 06:00 , 730337.0 ,0, 14.8522490956 3.24775090443
1999-07-02 06:00 , 730347.0 ,0, 12.6214467594 1.87855324064
1999-07-12 06:00 , 730357.0 ,0, 10.3749431136 3.72505688637
1999-07-23 06:00 , 730368.0 ,0, 6.73524545767 3.76475454233
1999-08-03 06:00 , 730378.0 ,0, 6.08185811314 0.73814188686
1999-08-13 06:00 , 730388.0 ,0, 5.25574898196 -0.105748981956
1999-08-23 06:00 , 730398.0 ,0, 4.13558906934 0.0544109306582
1999-09-03 06:00 , 730408.0 ,0, 3.39573491265 0.234265087345
1999-09-13 06:00 , 730418.0 ,0, 2.90884776503 0.171152234966
1999-09-24 06:00 , 730429.0 ,0, 2.48957441056 0.260425589435
1999-10-04 06:00 , 730439.0 ,0, 2.19946795928 0.460532040719
1999-10-14 06:00 , 730449.0 ,0, 2.19863709939 0.251362900611
1999-10-24 06:00 , 730459.0 ,0, 2.16804288626 0.101957113737
1999-11-04 06:00 , 730469.0 ,0, 1.98109865369 0.288901346308
1999-11-14 06:00 , 730479.0 ,0, 1.89018982877 0.369810171226
1999-11-25 06:00 , 730490.0 ,0, 1.79420151059 0.475798489405
2000-00-00 00:00 , 730500.0 ,0, 1.73069307051 0.539306929492
2000-00-10 00:00 , 730510.0 ,0, 1.6273020925 0.262697907496
2000-00-21 00:00 , 730521.0 ,0, 1.56478885077 0.335211149232
2000-01-01 00:00 , 730531.0 ,0, 1.5589316768 0.341068323204
2000-01-11 00:00 , 730541.0 ,0, 1.49323188838 0.336768111621
2000-01-20 00:00 , 730550.0 ,0, 1.48663481312 0.16336518688
2000-02-00 00:00 , 730560.0 ,0, 1.52688892297 0.113111077034
2000-02-10 00:00 , 730570.0 ,0, 1.49718987176 0.192810128238
2000-02-21 00:00 , 730581.0 ,0, 1.55366630043 0.176333699568
2000-03-01 00:00 , 730591.0 ,0, 1.54290523017 0.40709476983
2000-03-11 00:00 , 730601.0 ,0, 1.57642447994 0.633575520062
2000-03-21 00:00 , 730611.0 ,0, 2.29696779537 0.863032204632
2000-04-01 00:00 , 730621.0 ,0, 3.96861542646 3.04138457354
2000-04-11 00:00 , 730631.0 ,0, 3.4789947832 3.2110052168
2000-04-22 00:00 , 730642.0 ,0, 7.30993591985 -0.309935919846
2000-05-02 00:00 , 730652.0 ,0, 8.37533306943 2.22466693057
2000-05-12 00:00 , 730662.0 ,0, 11.9758458769 3.52415412307
2000-05-22 00:00 , 730672.0 ,0, 12.7693030224 4.13069697757
2000-06-02 00:00 , 730682.0 ,0, 11.7193587238 5.58064127623
2000-06-12 00:00 , 730692.0 ,0, 13.429949823 0.770050176967
2000-06-23 00:00 , 730703.0 ,0, 15.8014651322 1.59853486776
2000-07-03 00:00 , 730713.0 ,0, 12.4866105776 3.31338942244
2000-07-13 00:00 , 730723.0 ,0, 10.6758489391 1.52415106089
2000-07-24 00:00 , 730734.0 ,0, 8.70348296259 0.896517037414
2000-08-04 00:00 , 730744.0 ,0, 7.37387848652 -1.04387848652
2000-08-14 00:00 , 730754.0 ,0, 6.45128784274 -1.19128784274
2000-08-24 00:00 , 730764.0 ,0, 4.91845927528 -0.708459275279
2000-09-04 00:00 , 730774.0 ,0, 3.62899461152 -0.0489946115207
2000-09-14 00:00 , 730784.0 ,0, 2.97561555659 -0.0256155565863
2000-09-25 00:00 , 730795.0 ,0, 2.62633219881 -0.156332198811
2000-10-05 00:00 , 730805.0 ,0, 2.28450764165 -0.234507641646
2000-10-15 00:00 , 730815.0 ,0, 2.1103967633 -0.160396763295
2000-10-25 00:00 , 730825.0 ,0, 2.09595342096 -0.215953420958
2000-11-05 00:00 , 730835.0 ,0, 1.96582547584 -0.235825475838
2000-11-15 00:00 , 730845.0 ,0, 1.85617767623 -0.126177676232
2000-11-26 00:00 , 730856.0 ,0, 1.66398954899 0.0660104510083
2001-00-00 18:00 , 730866.0 ,0, 1.59445730086 0.075542699137
2001-00-10 18:00 , 730876.0 ,0, 1.53676861847 -0.0367686184727
2001-00-21 18:00 , 730887.0 ,0, 1.48712597849 0.0128740215098
2001-01-01 18:00 , 730897.0 ,0, 1.47120452892 0.0187954710833
2001-01-11 18:00 , 730907.0 ,0, 1.37852651908 0.00147348091714
2001-01-19 18:00 , 730915.0 ,0, 1.36057976687 -0.0405797668698
2001-01-29 18:00 , 730925.0 ,0, 1.36689941154 -0.0468994115386
2001-02-09 18:00 , 730935.0 ,0, 1.38927451151 -0.0492745115128
2001-02-20 18:00 , 730946.0 ,0, 1.508429285 -0.108429285001
2001-03-00 18:00 , 730956.0 ,0, 1.49637842462 0.193621575378
2001-03-10 18:00 , 730966.0 ,0, 1.60469707408 0.215302925922
2001-03-20 18:00 , 730976.0 ,0, 1.63884796487 1.24115203513
2001-04-00 18:00 , 730986.0 ,0, 2.55741842934 2.46258157066
2001-04-10 18:00 , 730996.0 ,0, 2.96201000794 2.84798999206
2001-04-21 18:00 , 731007.0 ,0, 5.57425818763 3.30574181237
2001-05-01 18:00 , 731017.0 ,0, 7.37083844894 3.72916155106
2001-05-11 18:00 , 731027.0 ,0, 8.3260596652 4.0739403348
2001-05-21 18:00 , 731037.0 ,0, 10.9985169768 3.00148302317
2001-06-01 18:00 , 731047.0 ,0, 14.1587631208 1.3412368792
2001-06-11 18:00 , 731057.0 ,0, 13.8251464388 2.37485356118
2001-06-22 18:00 , 731068.0 ,0, 14.0857476219 -0.385747621937
2001-07-02 18:00 , 731078.0 ,0, 11.6046812996 2.89531870037
2001-07-12 18:00 , 731088.0 ,0, 10.2907956618 2.70920433819
2001-07-23 18:00 , 731099.0 ,0, 9.13912784645 -1.33912784645
2001-08-03 18:00 , 731109.0 ,0, 7.27736009496 -2.18736009496
2001-08-13 18:00 , 731119.0 ,0, 5.26773959265 -1.09773959265
2001-08-23 18:00 , 731129.0 ,0, 4.09094376236 -0.440943762362
2001-09-03 18:00 , 731139.0 ,0, 3.3523255954 -0.362325595395
2001-09-13 18:00 , 731149.0 ,0, 2.89934511306 -0.169345113063
2001-09-24 18:00 , 731160.0 ,0, 2.56846660527 0.00153339472639
2001-10-04 18:00 , 731170.0 ,0, 2.37815308938 -0.118153089383
2001-10-14 18:00 , 731180.0 ,0, 2.26571841808 -0.185718418078
2001-10-24 18:00 , 731190.0 ,0, 2.22645188212 -0.306451882122
2001-11-04 18:00 , 731200.0 ,0, 2.11328612938 -0.093286129378
2001-11-14 18:00 , 731210.0 ,0, 1.96988489395 0.0501151060535
2001-11-25 18:00 , 731221.0 ,0, 1.73958457314 0.150415426858
2002-00-00 12:00 , 731231.0 ,0, 1.58493884259 0.365061157406
2002-00-10 12:00 , 731241.0 ,0, 1.5483966722 0.421603327804
2002-00-21 12:00 , 731252.0 ,0, 1.51655557653 0.303444423473
2002-01-01 12:00 , 731262.0 ,0, 1.49045940775 0.329540592247
2002-01-11 12:00 , 731272.0 ,0, 1.47909625411 0.340903745889
2002-01-19 12:00 , 731280.0 ,0, 1.4474908413 0.502509158696
2002-01-29 12:00 , 731290.0 ,0, 1.46466941657 0.37533058343
2002-02-09 12:00 , 731300.0 ,0, 1.422391214 0.447608786005
2002-02-20 12:00 , 731311.0 ,0, 1.50572177249 0.314278227514
2002-03-00 12:00 , 731321.0 ,0, 1.5760883521 0.713911647898
